"","RT1","bothT1","LdMRI","RdMRI","bothdMRI","Lcombi","Rcombi","bothcombi","age"
"1",0.00325447933589234,0.0018742903826043,0.00383201175821497,0.00372980693747414,0.00380084927160134,0.002326849003702,0.00275312287979864,0.00238798208751882,0.0265176547167292
"2",4.14085909114084e-05,-0.00131877012674772,0.00175394064012757,0.00151093442611382,0.00156777438897667,-0.000176498653824427,-2.23482652116663e-05,-0.000448868141237743,-0.0278751612966494
"3",-0.0105006198597125,-0.010521135063856,-0.00499356028377568,-0.0029326840847905,-0.00399381485613894,-0.00731260447543293,-0.00576455124826105,-0.00637488394269417,-0.258204570374153
"4",0.0487765329976337,0.046553725320028,0.0498875141518141,0.0498791446750096,0.0561364080168029,0.0584384445330595,0.0530718531066337,0.0544452964733389,0.192642443187149
"5",0.00613756954356913,0.00286732075712074,0.0082724477586345,0.00738851876938378,0.00782258027291399,0.00414205157322408,0.00488229102521524,0.00373384167020013,-0.040421445157574
"6",0.000209817432997537,-0.000953708209221261,0.00191452360126228,0.0020172177273435,0.00196067778832074,8.09866441161471e-05,0.000634853938297372,0.000109621681920195,-0.0654815564688315
"7",0.0802186924746532,0.065186461987311,0.0714613297050826,0.0719684233310643,0.0728054445010222,0.0604568446364359,0.0692718714845134,0.0663963947499545,1.1190438209782
"8",0.00376475826347373,0.00350867861801909,0.00894792095249479,0.00748794504974278,0.00804243510173624,0.00707162187990792,0.00666684957453251,0.00672126051309135,-0.00140531760346076
"9",0.00259725952254731,0.00245044378851146,0.00500371411087065,0.00431149743544968,0.00461139899882784,0.00423785377549931,0.00393198244707516,0.00395591950671372,0.138224807068774
"10",0.00256028983853592,0.0024394383106631,0.0039894952502182,0.00356054935091057,0.00378887164244469,0.00366096990145388,0.00333715092126679,0.00334964243529709,0.225418883065456
"11",0.319316889071339,0.321341068731137,0.150492698590568,0.167580226201157,0.136168351511467,0.193710419970828,0.222301473831924,0.181083419287591,1.80642152434004
"12",0.0848394523493499,0.0821669493794014,0.195832287889222,0.150636396334568,0.167433013993034,0.153865361632646,0.135795280411908,0.138098804231029,3.28630377372221
"13",0.041775164426489,0.0263479959783571,0.0454173044910408,0.0365128441199983,0.0428210082256537,0.0392943128205602,0.0404493136107215,0.0405595054889166,4.66696324135558
"14",-0.0130675466020666,-0.0220302451110824,0.029590688319849,0.0415989997814124,0.0380497729814486,0.0192220658107873,0.0223125250324905,0.0177748927223655,-1.10052332917656
"15",0.112772582491598,0.0979707206546608,0.0798805201664059,0.0720472484436035,0.0702726082426328,0.103900269286954,0.0851705422413682,0.0723123608765286,-3.13800501273394
